Year,st,State,Atkin05,Gini,RMeanDev,Theil
1918,32,New Mexico,0.08233083,0.28840059,0.403051436,0.216630057
1918,33,New York,0.296285152,0.557675481,0.85233742,1.002405643
1918,34,North Carolina,0.174672365,0.42341578,0.633444488,0.508900046
1918,35,North Dakota,0.07113985,0.287734866,0.409392953,0.162328824
1918,36,Ohio,0.168152392,0.406634897,0.586528838,0.509538651
1918,37,Oklahoma,0.126788259,0.364856601,0.516705155,0.344660252
1918,38,Oregon,0.148613527,0.392495483,0.564076722,0.429636776
1918,39,Pennsylvania,0.203448921,0.445582688,0.648557246,0.656708837
1918,40,Rhode Island,0.273646504,0.529801965,0.807262599,0.899961352
1918,41,South Carolina,0.109056078,0.349952251,0.506386042,0.269664526
1918,42,South Dakota,0.061716322,0.270468712,0.382220089,0.137449324
1918,43,Tennessee,0.147468537,0.397225022,0.580841422,0.394290924
1918,44,Texas,0.159519851,0.411279231,0.606764197,0.445716858
1918,45,Utah,0.104445472,0.340239882,0.485447556,0.260982335
1918,46,Vermont,0.181607381,0.439484268,0.634423137,0.51380235
1918,47,Virginia,0.139527008,0.38419804,0.556564569,0.378241986
1918,48,Washington,0.109954722,0.336607665,0.478827655,0.302004874
1918,49,West Virginia,0.121434808,0.353016675,0.49650529,0.333926588
1918,50,Wisconsin,0.146935374,0.391591191,0.561230063,0.403864563
1918,51,Wyoming,0.160052463,0.428132176,0.637498796,0.41133371
1919,0,United States,0.196556643,0.455600679,0.663591444,0.595403433
1919,1,Alabama,0.138497323,0.38915655,0.56350863,0.361646354
1919,3,Arizona,0.112895511,0.347709239,0.503429472,0.295835704
1919,4,Arkansas,0.121003419,0.367663682,0.535085559,0.304370254
1919,5,California,0.172937155,0.437413841,0.633459032,0.473725617
1919,6,Colorado,0.141524151,0.391209453,0.561981082,0.382859647
1919,7,Connecticut,0.198341236,0.460417479,0.680885434,0.571285665
1919,8,Delaware,0.307972938,0.55292803,0.852542639,1.11387682
1919,9,District of Columbia,0.188704431,0.45005852,0.657024086,0.545540631
1919,10,Florida,0.146366134,0.40029037,0.572597325,0.396077931
1919,11,Georgia,0.144250929,0.396407425,0.571386516,0.381119251
1919,13,Idaho,0.088685714,0.322077006,0.453490764,0.209074631
1919,14,Illinois,0.181069627,0.439445496,0.628035665,0.527614176
1919,15,Indiana,0.122142933,0.359885097,0.510522246,0.324337721
1919,16,Iowa,0.090788998,0.320842624,0.44082731,0.212939605
1919,17,Kansas,0.106208429,0.337450117,0.468750715,0.279208064
1919,18,Kentucky,0.125863671,0.374120116,0.536223352,0.321484536
1919,19,Louisiana,0.217260554,0.49240911,0.734610438,0.607506931
1919,20,Maine,0.150810882,0.404019713,0.578756213,0.419300675
1919,21,Maryland,0.192930594,0.452828676,0.660836875,0.56415838
1919,22,Massachusetts,0.236703187,0.49811849,0.74136281,0.722085416
1919,23,Michigan,0.214148641,0.456963956,0.659851134,0.829686284
1919,24,Minnesota,0.156817377,0.406322211,0.5827142,0.445564359
1919,25,Mississippi,0.171541423,0.440834343,0.645241916,0.448760509
1919,26,Missouri,0.175057784,0.440644234,0.640439451,0.473327041
1919,27,Montana,0.089188449,0.309132665,0.426506847,0.234951407
1919,28,Nebraska,0.113880657,0.361092716,0.514872193,0.283486873
1919,29,Nevada,0.08545728,0.30995357,0.438471258,0.213928625
1919,30,New Hampshire,0.149063557,0.401193321,0.573758781,0.406573743
1919,31,New Jersey,0.183307484,0.437443346,0.628721714,0.538810134
1919,32,New Mexico,0.094044827,0.318574041,0.466212064,0.234752387
1919,33,New York,0.295425743,0.565217495,0.865127921,0.946353376
1919,34,North Carolina,0.177291527,0.435484737,0.635912538,0.508231103
1919,35,North Dakota,0.076211922,0.297037065,0.405725569,0.173237234
1919,36,Ohio,0.187806278,0.446834087,0.653476059,0.544409752
1919,37,Oklahoma,0.144416779,0.392820269,0.559004486,0.403153747
1919,38,Oregon,0.162395716,0.419101179,0.601184964,0.462447226
1919,39,Pennsylvania,0.217680886,0.474481046,0.701140881,0.678837478
1919,40,Rhode Island,0.251372069,0.516762435,0.777627945,0.776842177
1919,41,South Carolina,0.121458814,0.366627276,0.518586218,0.308077663
1919,42,South Dakota,0.078700863,0.303474039,0.421543896,0.178437695
1919,43,Tennessee,0.166531608,0.432377219,0.630682945,0.438259721
1919,44,Texas,0.160616875,0.416900873,0.604476213,0.444431484
1919,45,Utah,0.100886323,0.337838173,0.477787256,0.247635469
1919,46,Vermont,0.176100835,0.437956244,0.633738577,0.488816619
1919,47,Virginia,0.13965334,0.389563113,0.563180685,0.371740252
1919,48,Washington,0.136789486,0.388324738,0.564756751,0.369238347
1919,49,West Virginia,0.144400865,0.392063558,0.562569499,0.393040001
1919,50,Wisconsin,0.138564974,0.393088073,0.56292665,0.361989975
1919,51,Wyoming,0.108943172,0.341817886,0.486830592,0.28194347
1920,0,United States,0.157113194,0.402205765,0.583875299,0.456838518
1920,1,Alabama,0.11489705,0.344490826,0.490989089,0.303602934
1920,3,Arizona,0.073011391,0.272453666,0.382976443,0.183755875
1920,4,Arkansas,0.102101646,0.322945982,0.459160894,0.271267951
1920,5,California,0.14029336,0.391605526,0.5649212,0.372678667
1920,6,Colorado,0.116880581,0.34627983,0.493001699,0.321968764
1920,7,Connecticut,0.152084187,0.399104595,0.568633437,0.421032399
1920,8,Delaware,0.156651214,0.396182746,0.576131761,0.456191182
1920,9,District of Columbia,0.147277266,0.389021128,0.561496794,0.419620395
1920,10,Florida,0.137383044,0.38356629,0.5539397,0.371476918
1920,11,Georgia,0.128939837,0.360348642,0.524395764,0.354183674
1920,13,Idaho,0.063762657,0.268457711,0.370652735,0.149460003
1920,14,Illinois,0.165615633,0.416761696,0.617742717,0.470409423
1920,15,Indiana,0.109062009,0.333521277,0.472360224,0.291361064
1920,16,Iowa,0.107490048,0.354970843,0.508141637,0.256098866
1920,17,Kansas,0.105653979,0.34106636,0.486625433,0.265744746
1920,18,Kentucky,0.129745647,0.377804488,0.546910942,0.333558679
1920,19,Louisiana,0.144600943,0.395124227,0.564589739,0.387733042
1920,20,Maine,0.134925947,0.377156943,0.536006153,0.37454468
1920,21,Maryland,0.158781633,0.408650726,0.59184593,0.444458067
1920,22,Massachusetts,0.176451996,0.423595965,0.611216664,0.517996252
1920,23,Michigan,0.154817551,0.387432992,0.561700523,0.502263784
1920,24,Minnesota,0.138786763,0.378630221,0.542054236,0.38429752
1920,25,Mississippi,0.115580209,0.345527858,0.494866222,0.307934552
1920,26,Missouri,0.161946684,0.418482423,0.61633724,0.438679129
1920,27,Montana,0.06618686,0.256498486,0.351321071,0.178160116
1920,28,Nebraska,0.109743603,0.353852898,0.507794499,0.269479811
1920,29,Nevada,0.055615582,0.254269481,0.353965014,0.126570404
